,Percentile,Clusters,Type,MCP_PercExtr,MCP,MCP_UpperLim,TotalPercSign,MeanCondProbSign,PercentSign,Area,Variables
1,P97,Clusters_11,MedExt_T850,21.555555555555557,7.5685903500473035,6.793703396851698,50.666666666666664,6.265117152532113,99.97038134024436,MedExt,T850
2,P99,Clusters_11,MedExt_T850,24.0,2.7436140018921478,2.454991816693944,45.33333333333333,2.4029721614393185,99.28174750092559,MedExt,T850
0,P95,Clusters_12,MedExt_T850,18.157543391188252,11.701244813278008,10.502625656414104,51.00133511348465,9.677315196866479,99.98519067012218,MedExt,T850
1,P97,Clusters_12,MedExt_T850,19.333333333333332,7.424812030075188,6.651108518086348,50.22222222222222,6.177265854393369,99.9407626804887,MedExt,T850
2,P99,Clusters_12,MedExt_T850,22.0,2.7331189710610935,2.4504084014002334,43.333333333333336,2.4115755627009645,98.82265827471308,MedExt,T850
0,P95,Clusters_4,MedExt_Z500,39.38584779706275,7.993071022024252,7.450254511800093,44.32576769025367,7.7668838749018985,97.7563865235098,MedExt,Z500
1,P97,Clusters_4,MedExt_Z500,40.44444444444444,4.9492699826775555,4.613200851667849,44.666666666666664,4.825538233110616,96.87523139577934,MedExt,Z500
2,P99,Clusters_4,MedExt_Z500,44.0,1.7852834740651389,1.6658954187875983,46.0,1.7629184615940159,86.18289522399112,MedExt,Z500
0,P95,Clusters_7,MedExt_Z500,27.770360480640853,10.06319883325231,9.212283044058744,48.73164218958611,9.020692262664781,98.3931877082562,MedExt,Z500
1,P97,Clusters_7,MedExt_Z500,28.888888888888886,6.225462703309029,5.696484201157098,48.888888888888886,5.687894992707827,97.741577193632,MedExt,Z500
2,P99,Clusters_7,MedExt_Z500,31.333333333333336,2.2189349112426036,2.034358047016275,46.666666666666664,2.0875113677969503,94.9203998519067,MedExt,Z500
0,P95,Clusters_8,MedExt_Z500,24.566088117489986,11.143270622286542,10.078740157480315,46.5954606141522,9.568300697321519,98.9707515734913,MedExt,Z500
1,P97,Clusters_8,MedExt_Z500,25.77777777777778,6.850961538461539,6.192660550458716,46.888888888888886,5.985396643377163,99.23731951129211,MedExt,Z500
2,P99,Clusters_8,MedExt_Z500,28.666666666666668,2.3878437047756873,2.1653543307086616,45.333333333333336,2.2141240485006337,95.49055905220288,MedExt,Z500
0,P95,Clusters_9,MedExt_Z500,24.432576769025367,11.5,10.44776119402985,45.126835781041386,9.915112907219264,99.98519067012218,MedExt,Z500
1,P97,Clusters_9,MedExt_Z500,25.77777777777778,7.264957264957266,6.613906161673262,45.55555555555556,6.311785603954279,99.88152536097742,MedExt,Z500
2,P99,Clusters_9,MedExt_Z500,28.000000000000004,2.635542168674699,2.4015369836695486,44.666666666666664,2.391895166874394,97.48241392077009,MedExt,Z500
0,P95,Clusters_10,MedExt_Z500,22.696929238985312,12.040374909877432,10.862409479921,44.592790387182916,10.151689380848175,99.83709737134394,MedExt,Z500
1,P97,Clusters_10,MedExt_Z500,24.22222222222222,7.6047594412829795,6.859448554135844,44.888888888888886,6.517536164327792,99.65198074787116,MedExt,Z500
2,P99,Clusters_10,MedExt_Z500,27.333333333333332,2.7800490596892886,2.5202092249167856,43.333333333333336,2.507424728208271,96.8530174009626,MedExt,Z500
0,P95,Clusters_11,MedExt_Z500,21.09479305740988,12.393442622950818,11.17732806865212,45.9279038718291,10.180502622688,99.88893002591632,MedExt,Z500
1,P97,Clusters_11,MedExt_Z500,22.444444444444443,7.887579329102448,7.123098201936376,43.77777777777777,6.5907950084631395,99.82228804146612,MedExt,Z500
2,P99,Clusters_11,MedExt_Z500,25.333333333333336,2.9184549356223175,2.6347305389221556,42.0,2.583533829000256,96.55683080340614,MedExt,Z500
